Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature ??C
Russian Federation,2002,5256.53,4398.45,6191.90,1019.98,51191.74,771.00,13905.75,-797183.08,0.00,33023.98,7146.45,9445.50,11222.40,30002.41,25711.73,24827.35,136980.78,7716.15,4600.96,14423.30,0.00,0.00,17462.65,38707217.00,106487665.00,67847209.00,77742927.00,-391884.06,1.32
Russian Federation,2001,4154.22,3261.06,6094.77,1115.63,51201.26,731.00,13814.90,-797183.08,0.00,35373.72,7080.22,10350.56,10877.54,29719.75,24710.13,24587.82,136408.99,7708.23,4589.93,14471.40,0.00,0.00,23301.82,38866125.00,106948739.00,68228788.00,78006742.00,-387630.12,0.94
Russian Federation,2003,9923.42,7774.09,4904.11,1121.12,51117.42,802.00,14187.85,-797183.08,0.00,35232.72,7418.84,8540.09,11517.74,30422.57,24596.80,25198.80,141387.06,7681.39,4575.89,14294.11,0.00,0.00,17984.09,38498936.00,106085759.00,67447789.00,77498933.00,-378502.97,1.59
Russian Federation,2004,2395.63,7925.61,5594.09,980.00,51180.29,774.00,15098.74,-797183.08,0.00,35280.42,7504.34,7375.36,11829.46,30693.27,23620.33,24414.42,154843.60,7304.52,4430.93,13652.35,0.00,0.00,16909.04,38290132.00,105754475.00,67054100.00,77299537.00,-375376.67,1.00
Russian Federation,2005,3597.29,3782.15,5637.80,1071.73,51113.29,817.00,14949.92,-797183.08,0.00,32369.21,13253.27,7595.21,13037.69,31011.12,24790.18,24293.83,162311.09,6807.83,4248.27,12520.90,0.00,0.00,18500.97,38112227.00,105505958.00,66672420.00,77127629.00,-365474.32,1.90
Russian Federation,2009,3679.58,4746.69,6740.12,1391.27,50523.50,1116.00,17947.48,-797183.08,0.00,33739.76,14411.10,6287.58,15134.63,32225.53,23943.29,25387.68,158285.76,6701.61,4250.09,12216.46,0.00,0.00,15898.47,37715868.00,105376897.00,66184486.00,76979156.00,-362556.51,0.86
Russian Federation,2006,3965.03,5980.02,5602.58,1224.61,50953.48,884.00,16048.86,-797183.08,0.00,33575.98,13490.57,7748.34,13682.57,31397.34,27093.22,25125.51,167138.52,6585.43,4095.13,12149.32,0.00,0.00,17864.38,37969435.00,105353498.00,66353507.00,76985163.00,-352578.19,0.73
Russian Federation,2007,3199.49,3052.32,5766.35,1230.88,50800.34,1072.00,15996.97,-797183.08,0.00,33192.83,14771.05,7172.23,15600.68,31866.55,24708.97,24178.47,177388.22,6701.39,4192.39,12281.25,0.00,0.00,20254.18,37859367.00,105290775.00,66195428.00,76922265.00,-343756.51,2.46
Russian Federation,2010,4843.65,5972.41,4501.88,1574.88,50697.54,1166.00,18164.93,-797183.08,0.00,33611.04,14763.21,6702.21,16222.96,32497.79,25041.18,30301.62,169983.83,6745.33,4222.48,12300.37,0.00,0.00,14709.19,37667890.00,105485979.00,66234884.00,77007715.00,-343160.56,0.97
Russian Federation,2008,6583.82,11381.62,7329.10,1257.54,50663.34,1108.00,17461.06,-797183.08,0.00,35618.32,15900.83,6857.78,16153.48,32136.41,24819.20,24330.73,171184.90,6762.25,4281.62,12342.61,0.00,0.00,20520.29,37777378.00,105305809.00,66156273.00,76930276.00,-330490.19,2.14
